Magma V2.26-3     Fri May 14 2021 09:41:06 on weil     [Seed = 3893818732]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "5adicim.txt"
Loading "gl2data.m"
N=175, i=3, j=1, [ 0, 1, 1, 42, -131 ] - 5.24.0.4.
N=175, i=3, j=2, [ 0, 1, 1, -3708, 86119 ] - 5.24.0.2.
N=176, i=2, j=1, [ 0, 1, 0, -5, -13 ] - 25.60.0.1.
N=176, i=2, j=2, [ 0, 1, 0, -165, 1427 ] - 5.60.0.1.
N=176, i=2, j=3, [ 0, 1, 0, -125125, 16994227 ] - 25.60.0.2.
N=186, i=2, j=1, [ 1, 0, 0, 15, 9 ] - 5.24.0.1.
N=186, i=2, j=2, [ 1, 0, 0, -1395, -20181 ] - 5.24.0.3.
N=198, i=5, j=1, [ 1, -1, 0, -405, -2187 ] - 5.12.0.1.
N=198, i=5, j=2, [ 1, -1, 0, 1035, -15147 ] - 5.12.0.1.
N=198, i=5, j=3, [ 1, -1, 0, -90585, 10516473 ] - 5.12.0.2.
N=198, i=5, j=4, [ 1, -1, 0, -90495, 10538343 ] - 5.12.0.2.
N=203, i=1, j=1, [ 0, -1, 1, 20, -8 ] - 5.24.0.1.
N=203, i=1, j=2, [ 0, -1, 1, -2150, -37668 ] - 5.24.0.3.
N=225, i=4, j=1, [ 0, 0, 1, 15, -99 ] - 5.12.0.1.
N=225, i=4, j=2, [ 0, 0, 1, -1875, 32031 ] - 5.12.0.2.
N=225, i=5, j=1, [ 0, 0, 1, -75, 256 ] - 5.12.0.2.
N=225, i=5, j=2, [ 0, 0, 1, 375, -12344 ] - 5.12.0.1.
N=246, i=2, j=1, [ 1, 0, 0, -175, -27847 ] - 5.24.0.1.
N=246, i=2, j=2, [ 1, 0, 0, -579535, -169860007 ] - 5.24.0.3.
N=275, i=2, j=1, [ 0, 1, 1, -8, 19 ] - 25.120.0.2.
N=275, i=2, j=2, [ 0, 1, 1, -258, -2981 ] - 5.120.0.2.
N=275, i=2, j=3, [ 0, 1, 1, -195508, -33338481 ] - 25.120.0.4.
N=286, i=4, j=1, [ 1, 1, 1, 280, 393 ] - 5.24.0.1.
N=286, i=4, j=2, [ 1, 1, 1, -27930, -1808687 ] - 5.24.0.3.
N=302, i=1, j=1, [ 1, 1, 1, -230, 1251 ] - 5.24.0.1.
N=302, i=1, j=2, [ 1, 1, 1, 1650, -27389 ] - 5.24.0.3.
N=304, i=1, j=1, [ 0, 1, 0, 0, -76 ] - 5.12.0.1.
N=304, i=1, j=2, [ 0, 1, 0, -1120, 15604 ] - 5.12.0.2.
N=324, i=2, j=1, [ 0, 0, 0, 9, -18 ] - 5.5.0.1.
N=324, i=2, j=2, [ 0, 0, 0, -351, -2538 ] - 5.5.0.1.
N=324, i=4, j=1, [ 0, 0, 0, -39, 94 ] - 5.5.0.1.
N=324, i=4, j=2, [ 0, 0, 0, 81, 486 ] - 5.5.0.1.
N=325, i=4, j=1, [ 0, 1, 1, -508, -4581 ] - 5.24.0.4.
N=325, i=4, j=2, [ 0, 1, 1, -2458, 42369 ] - 5.24.0.2.
N=325, i=5, j=1, [ 0, -1, 1, -98, 378 ] - 5.24.0.1.
N=325, i=5, j=2, [ 0, -1, 1, -12708, -547182 ] - 5.24.0.3.
N=338, i=4, j=1, [ 1, 1, 0, 504, -13112 ] - 5.6.0.1.
N=338, i=4, j=2, [ 1, 1, 0, -54421, 4945517 ] - 5.6.0.1.
N=338, i=5, j=1, [ 1, 1, 1, 3, -5 ] - 5.6.0.1.
N=338, i=5, j=2, [ 1, 1, 1, -322, 2127 ] - 5.6.0.1.
N=342, i=7, j=1, [ 1, -1, 0, 0, -32 ] - 5.12.0.1.
N=342, i=7, j=2, [ 1, -1, 0, -630, 6898 ] - 5.12.0.2.
N=366, i=2, j=1, [ 1, 0, 0, -5, 33 ] - 5.24.0.1.
N=366, i=2, j=2, [ 1, 0, 0, -515, -5697 ] - 5.24.0.3.
N=369, i=2, j=1, [ 0, 0, 1, -93, -369 ] - 5.12.0.1.
N=369, i=2, j=2, [ 0, 0, 1, 177, 24201 ] - 5.12.0.2.
N=395, i=3, j=1, [ 0, -1, 1, -50, 156 ] - 5.24.0.1.
N=395, i=3, j=2, [ 0, -1, 1, 300, -5724 ] - 5.24.0.3.
N=400, i=2, j=1, [ 0, 1, 0, -48, -172 ] - 5.12.0.1.
N=400, i=2, j=2, [ 0, 1, 0, 352, 1268 ] - 5.12.0.1.
N=400, i=2, j=3, [ 0, 1, 0, -208, 13588 ] - 5.12.0.2.
N=400, i=2, j=4, [ 0, 1, 0, -50208, 4313588 ] - 5.12.0.2.
N=400, i=3, j=1, [ 0, -1, 0, -8, 112 ] - 5.12.0.2.
N=400, i=3, j=2, [ 0, -1, 0, -2008, 35312 ] - 5.12.0.2.
N=400, i=3, j=3, [ 0, -1, 0, -1208, -19088 ] - 5.12.0.1.
N=400, i=3, j=4, [ 0, -1, 0, 8792, 140912 ] - 5.12.0.1.
N=426, i=1, j=1, [ 1, 0, 0, -20, 48 ] - 5.24.0.1.
N=426, i=1, j=2, [ 1, 0, 0, -230, -5202 ] - 5.24.0.3.
N=450, i=1, j=1, [ 1, -1, 1, -680, 9447 ] - 5.12.0.2.
N=450, i=1, j=2, [ 1, -1, 1, -11930, 504447 ] - 5.12.0.2.
N=450, i=1, j=3, [ 1, -1, 1, -6305, -924303 ] - 5.12.0.1.
N=450, i=1, j=4, [ 1, -1, 1, -186305, -30804303 ] - 5.12.0.1.
N=450, i=2, j=1, [ 1, -1, 1, -5, 47 ] - 5.12.0.2.
N=450, i=2, j=2, [ 1, -1, 1, -1130, 14897 ] - 5.12.0.2.
N=450, i=2, j=3, [ 1, -1, 1, -680, -8053 ] - 5.12.0.1.
N=450, i=2, j=4, [ 1, -1, 1, 4945, 59447 ] - 5.12.0.1.
N=450, i=3, j=1, [ 1, -1, 0, -27, 81 ] - 5.12.0.2.
N=450, i=3, j=2, [ 1, -1, 0, -477, 4131 ] - 5.12.0.2.
N=450, i=3, j=3, [ 1, -1, 0, -252, -7344 ] - 5.12.0.1.
N=450, i=3, j=4, [ 1, -1, 0, -7452, -244944 ] - 5.12.0.1.
N=450, i=4, j=1, [ 1, -1, 0, -27, -59 ] - 5.12.0.1.
N=450, i=4, j=2, [ 1, -1, 0, 198, 436 ] - 5.12.0.1.
N=450, i=4, j=3, [ 1, -1, 0, -117, 5791 ] - 5.12.0.2.
N=450, i=4, j=4, [ 1, -1, 0, -28242, 1833916 ] - 5.12.0.2.
N=464, i=3, j=1, [ 0, 1, 0, 80, -428 ] - 5.12.0.1.
N=464, i=3, j=2, [ 0, 1, 0, -7280, 238292 ] - 5.12.0.2.
N=522, i=6, j=1, [ 1, -1, 0, 45, -203 ] - 5.12.0.1.
N=522, i=6, j=2, [ 1, -1, 0, -4095, 102577 ] - 5.12.0.2.
N=528, i=6, j=1, [ 0, -1, 0, -720, -5184 ] - 5.12.0.1.
N=528, i=6, j=2, [ 0, -1, 0, 1840, -35904 ] - 5.12.0.1.
N=528, i=6, j=3, [ 0, -1, 0, -161040, 24927936 ] - 5.12.0.2.
N=528, i=6, j=4, [ 0, -1, 0, -160880, 24979776 ] - 5.12.0.2.
